abbr ,name ,url
AAAI ,AAAI Conference on Artificial Intelligence,http://dblp.uni-trier.de/db/conf/aaai/
ACL,Annual Meeting of the Association for Computational Linguistics,http://dblp.uni-trier.de/db/conf/acl/
ACM MM ,ACM International Conference on Multimedia ,http://dblp.uni-trier.de/db/conf/mm/
AI ,Artificial Intelligence ,http://dblp.uni-trier.de/db/journals/ai/
ASE ,International Conference on Automated Software Engineering ,http://dblp.uni-trier.de/db/conf/kbse/
ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,http://dblp.uni-trier.de/db/conf/asplos/
CAV ,International Conference on Computer Aided Verification ,http://dblp.uni-trier.de/db/conf/cav/
CCS,ACM Conference on Computer and Communications Security,http://dblp.uni-trier.de/db/conf/ccs/
CHI,ACM Conference on Human Factors in Computing Systems,http://dblp.uni-trier.de/db/conf/chi
CRYPTO ,International Cryptology Conference ,http://dblp.uni-trier.de/db/conf/crypto/
Cryptology ,Journal of Cryptology ,http://dblp.uni-trier.de/db/journals/joc/
CSCW,ACM Conference On ComputerSupportedCooperative Work And Social Computing,http://dblp.uni-trier.de/db/conf/cscw
CVPR ,IEEE/CVF Computer Vision and Pattern Recognition Conference ,http://dblp.uni-trier.de/db/conf/cvpr/
DAC ,Design Automation Conference ,https://dblp.uni-trier.de/db/conf/dac/
EUROCRYPT ,International Conference on the Theory and Applications of Cryptographic Techniques,http://dblp.uni-trier.de/db/conf/eurocrypt/
EuroSys ,European Conference on Computer Systems ,http://dblp.uni-trier.de/db/conf/eurosys/
FAST ,USENIX Conference on File and Storage Technologies,http://dblp.uni-trier.de/db/conf/fast/
FM ,International Symposium on Formal Methods ,http://dblp.unitrier.de/db/conf/fm/
FOCS ,IEEE Annual Symposium on Foundations of Computer Science ,http://dblp.uni-trier.de/db/conf/focs/
FSE/ESEC,ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,http://dblp.uni-trier.de/db/conf/sigsoft/
HPCA ,IEEE International Symposium on High Performance Computer Architecture,http://dblp.uni-trier.de/db/conf/hpca/
IANDC ,Information and Computation ,http://dblp.uni-trier.de/db/journals/iandc/
ICCV ,International Conference on Computer Vision,http://dblp.uni-trier.de/db/conf/iccv/
ICDE ,IEEE International Conference on Data Engineering,http://dblp.uni-trier.de/db/conf/icde/
ICLR,The International Conference on Learning Representations,http://dblp.uni-trier.de/db/conf/iclr/
ICML ,International Conference on Machine Learning,http://dblp.uni-trier.de/db/conf/icml/
ICSE ,International Conference on Software Engineering ,http://dblp.uni-trier.de/db/conf/icse/
IEEE VIS ,IEEE Visualization Conference ,http://dblp.uni-trier.de/db/conf/visualization/index.html
IJCAI ,International Joint Conference on,http://dblp.uni-trier.de/db/conf/ijcai/
IJCV,International Journal of Computer Vision ,http://dblp.uni-trier.de/db/journals/ijcv/
IJHCS ,International Journal of Human-Computer Studies ,http://dblp.uni-trier.de/db/journals/ijmms/
INFOCOM ,IEEE International Conference on Computer Communications,http://dblp.uni-trier.de/db/conf/infocom/
ISCA ,International Symposium on Computer Architecture ,http://dblp.uni-trier.de/db/conf/isca/
