IEEE Transactions on Knowledge and Data Engineering,2008,Organizational unlearning
USENIX Security Symposium,2015,To avoid organizational crises* unlearn
ACM Transactions on Computer Systems,2004,Unlearning in health care
ACM Transactions on Storage,2002,Transformative unlearning: safety* discernment and communities of learning
Proceedings of the IEEE,2021,It did not work? Unlearn and try again—Unlearning success and failure beliefs in changing environments
Artificial Intelligence,1983,'Unlearning'has a stabilizing effect in collective memories
ACM Transactions on Information Systems,2021,Machine unlearning
ACM SIGMOD Conference,2010,Facilitating unlearning during implementation of new technology
Proceedings of the IEEE,2005,Individual and organisational unlearning: directions for future research
ACM Transactions on Storage,2002,Context* ambiguity* and unlearning: sources of relapse after behavioral extinction
ACM Transactions on Database Systems,1993,Unlearning the organization
ACM Transactions on Database Systems,2017,Organizational learning and unlearning
IEEE Transactions on Computers,2007,Organizational unlearning as changes in beliefs and routines in organizations
ACM Transactions on Information Systems,2021,Remember what you want to forget: Algorithms for machine unlearning
ACM Transactions on Database Systems,2017,Learning and unlearning: a conceptual note
USENIX Security Symposium,2008,Unlearning how to teach
IEEE Transactions on Computers,2019,Potential history: Unlearning imperialism
ACM SIGMOD Conference,2005,Business performance management and unlearning process
Journal of Machine Learning Research,1989,Parenthetic learning in organizations: Toward the unlearning of the unlearning model
Journal of Cryptology,2006,Antecedents and consequences of unlearning in new product development teams
International Journal of Computer Vision,2016,Why the problem with learning is unlearning
ACM SIGMOD Conference,1996,Unlearning ineffective or obsolete technologies
ACM Transactions on Database Systems,2018,Organizational unlearning: time to expand our horizons?
Artificial Intelligence,2008,Unlearning as a driver of sustainable change and innovation: three Australian case studies
ACM Conference on Computer and Communications Security,2003,Learning and unlearning: The education of teacher educators
Journal of the ACM,2014,The process of individual unlearning: A neglected topic in an under-researched field
IEEE Symposium on Security and Privacy,2015,Towards making systems forget with machine unlearning
International Symposium on Computer Architecture,1999,Designing organizations for competitive advantage: the power of unlearning and learning
ACM Transactions on Storage,2020,Variational bayesian unlearning
Proceedings of the IEEE,2000,Blind vision: Unlearning racism in teacher education
ACM Transactions on Computer Systems,1998,Unlearning Discrimination in the Early Years.
ACM Transactions on Database Systems,2017,The journey of organizational unlearning: a conversation with William H. Starbuck
USENIX Security Symposium,2015,Organizational unlearning* innovation outcomes* and performance: The moderating effect of firm size
ACM SIGMOD Conference,2013,Organizational unlearning and organizational relearning: a dynamic process of knowledge management
International Joint Conference on,2019,Individual unlearning* organizational unlearning and strategic flexibility: The down-up change perspective
The VLDB Journal,2019,Promoting intentional unlearning through an unlearning cycle
ACM Transactions on Database Systems,2017,Unlearning established organizational routines–part I
Proceedings of the IEEE,2002,Market‐based success* organizational routines* and unlearning
ACM SIGMOD Conference,1988,Unlearning to teach mathematics
Journal of the ACM,2017,The physician's experience of changing clinical practice: a struggle to unlearn
Design Automation Conference,2007,Fostering innovation by unlearning tacit knowledge
IEEE Symposium on Security and Privacy,2009,Impact and scholarship: Unlearning and practising to co-create actionable knowledge
IEEE Transactions on Computers,2007,New product development in turbulent environments: Impact of improvisation and unlearning on new product performance
International Joint Conference on,2019,Unlearning and forgetting in organizations: a systematic review of literature
Artificial Intelligence,1984,The acquisition of the dative alternation: Unlearning overgeneralizations
ACM Transactions on Database Systems,2011,Balancing exploration and exploitation of knowledge through an unlearning context: An empirical investigation in SMEs
Proceedings of the IEEE,2008,Transferring knowledge to acquisition joint ventures: an organizational unlearning perspective
ACM SIGMOD Conference,2001," Unlearning" automatic biases: the malleability of implicit prejudice and stereotypes.
Journal of Machine Learning Research,1993,Unlearning through experience
Artificial Intelligence,1988,Unlearning and backcasting: rethinking some of the questions we ask about the future
The VLDB Journal,2019,Lifelong anomaly detection through unlearning
ACM Transactions on Information Systems,2021,Machine unlearning for random forests
IEEE Transactions on Computers,2022,On the necessity of auditable algorithmic definitions for machine unlearning
Artificial Intelligence,2010,Unlearning the colonial cultures of planning
ACM Transactions on Database Systems,2017,How the concept of organizational unlearning contributes to studies of learning organizations: a personal reflection
Proceedings of the IEEE,2000,The unlearning organisation
Artificial Intelligence,1982,Unlearning Aristotelian physics: A study of knowledge-based learning
IEEE Symposium on Security and Privacy,2023,Zero-shot machine unlearning
