title,year,conf_abbr,subconf_abbr
Compressed Particle-Based Federated Bayesian Learning and Unlearning,2023,journals,icl
Robust Deep Reinforcement Learning Scheduling via Weight Anchoring,2023,journals,icl
Locally Weighted Learning Robot Control With Improved Parameter,2022,journals,tie
Motion Learning and Rapid Generalization for Musculoskeletal Systems,2022,journals,tamd
Domain Adversarial Neural Network-Based Intrusion Detection System for,2022,journals,icl
UNICON: Uncertainty-Conditioned Policy for Robust Behavior in Unfamiliar,2022,journals,ral
Certifiable Unlearning Pipelines for Logistic Regression: An,2022,journals,make
Federated Unlearning: Guarantee the Right of Clients to Forget,2022,journals,network
Label-only membership inference attacks on machine unlearning without,2022,journals,ijis
Active forgetting via influence estimation for neural networks,2022,journals,ijis
Machine unlearning: linear filtration for logit-based classifiers,2022,journals,ml
Equity-based CS Case Study: An Approach to Exploring White Teachers',2022,journals,jeric
Spatio-Temporally Efficient Coding Assigns Functions to Hierarchical,2022,journals,ficn
An adaptive estimation method with exploration and exploitation modes,2022,journals,pr
Rejecting Novel Motions in High-Density Myoelectric Pattern Recognition,2022,journals,finr
Separated by a Common Language: How the Nature of Code Differences,2022,journals,mansci
Near-Optimal Task Selection for Meta-Learning with Mutual Information,2022,conf,aistats
Sensory-Motor Learning for Simultaneous Control of Motion and Force:,2022,conf,sii
Efficient Two-stage Model Retraining for Machine Unlearning,2022,conf,cvpr
FP2-MIA: A Membership Inference Attack Free of Posterior Probability in,2022,conf,provsec
Hard to Forget: Poisoning Attacks on Certified Machine Unlearning,2022,conf,aaai
Modeling Fabric-Type Actuator Using Point Clouds by Deep Learning,2022,journals,access
Gradual and Tolerant Programming for Novices,2022,conf,educon
Strategies for Working Remotely: Responding to Pandemic-Driven Change,2022,conf,hci
Tracking Untrained Objects Based On Optical Flow Approach,2022,conf,bigcomp
Poison Forensics: Traceback of Data Poisoning Attacks in Neural Networks,2022,conf,uss
Unrolling SGD: Understanding Factors Influencing Machine Unlearning,2022,conf,eurosp
On the Necessity of Auditable Algorithmic Definitions for Machine,2022,conf,uss
Federated Unlearning via Class-Discriminative Pruning,2022,conf,www
Reinforcement Learning-Based Composite Controller for Cable-Driven,2022,journals,access
