title,year,class,confedence
Unlearnable Clusters: Towards Label-agnostic Unlearnable Examples,2023,journals,corr
Learning to Unlearn: Instance-wise Unlearning for Pre-trained Classifiers,2023,journals,corr
Learning the Unlearnable: Adversarial Augmentations Suppress Unlearnable Example Attacks,2023,journals,corr
Markov Chain Monte Carlo-Based Machine Unlearning: Unlearning What Needs to be Forgotten,2022,conf,asiaccs
Unlearning in crisis: Forces of change in unlearning,2022,conf,hicss
Markov Chain Monte Carlo-Based Machine Unlearning: Unlearning What Needs to be Forgotten,2022,journals,corr
Sequential Informed Federated Unlearning: Efficient and Provable Client Unlearning in Federated Optimization,2022,journals,corr
"Machine Unlearning: Learning, Polluting, and Unlearning for Spam Email",2021,journals,corr
Let Machines Unlearn - Machine Unlearning and the Right to be Forgotten,2017,conf,amcis
Compressed Particle-Based Federated Bayesian Learning and Unlearning,2023,journals,icl
Poison Neural Network-Based mmWave Beam Selection and Detoxification With Machine Unlearning,2023,journals,tcom
"Introduction to the Minitrack on Innovation in Organizations: Learning, Unlearning, and Intentional Forgetting",2023,conf,hicss
Machine Unlearning of Features and Labels,2023,conf,ndss
Federated Unlearning for On-Device Recommendation,2023,conf,wsdm
Heterogeneous Federated Knowledge Graph Embedding Learning and Unlearning,2023,journals,corr
To Be Forgotten or To Be Fair: Unveiling Fairness Implications of Machine Unlearning Methods,2023,journals,corr
Netflix and Forget: Efficient and Exact Machine Unlearning from Bi-linear Recommendations,2023,journals,corr
Towards Unbounded Machine Unlearning,2023,journals,corr
Subspace based Federated Unlearning,2023,journals,corr
GNNDelete: A General Strategy for Unlearning in Graph Neural Networks,2023,journals,corr
Unlearnable Graph: Protecting Graphs from Unauthorized Exploitation,2023,journals,corr
CUDA: Convolution-based Unlearnable Datasets,2023,journals,corr
Feature Unlearning for Generative Models via Implicit Feedback,2023,journals,corr
"Learn, Unlearn and Relearn: An Online Learning Paradigm for Deep Neural Networks",2023,journals,corr
Boundary Unlearning,2023,journals,corr
Label-only membership inference attacks on machine unlearning without dependence of posteriors,2022,journals,ijis
