title,journal,year
Unlearned Lessons,NATION,2023
Organizational unlearning: A risky food safety strategy?,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,2023
"White Christian Nationalism: What Is It, and Why Does It Matter for",EDUCATIONAL RESEARCHER,2023
Of ties and lies: Ethical disruptions in Oyinkan Braithwaite's My Sister,JOURNAL OF POSTCOLONIAL WRITING,2023
Linking unlearning with the intention to recommend through destination,INTERNATIONAL JOURNAL OF TOURISM CITIES,2023
Expectations generated based on associative learning guide visual search,FOOD QUALITY AND PREFERENCE,2023
A supervised machine learning technique for combustion diagnosis using a,FUEL,2023
Spatially-resolved bending recognition based on a learning-empowered,OPTICS EXPRESS,2023
Action-effect knowledge transfers to similar effect stimuli,PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG,2023
Post-apartheid whiteness and unlearning racism,JOURNAL OF SOUTHERN AFRICAN STUDIES,2023
Situating decolonial strategies within methodologies-in/as-practices: A,SOCIOLOGICAL REVIEW,2023
Off-policy and on-policy reinforcement learning with the Tsetlin machine,APPLIED INTELLIGENCE,2023
Strategies for and Barriers to Collaboratively Developing Anti-Racist,EARTHS FUTURE,2023
Compressed Particle-Based Federated Bayesian Learning and Unlearning,IEEE COMMUNICATIONS LETTERS,2023
Vapor recompression: An interesting option for vacuum columns?,CHEMICAL ENGINEERING RESEARCH & DESIGN,2023
"arbol Que Nace Torcido, Jamas Su Tronco Endereza/tree that is born",QUALITATIVE RESEARCH JOURNAL,2023
Dynamic Incremental Learning for real-time disturbance event,INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,2023
The Queering Accounting Manifesto,CRITICAL PERSPECTIVES ON ACCOUNTING,2023
Unlearning in sustainability transitions: Insight from two Dutch,ENVIRONMENTAL INNOVATION AND SOCIETAL TRANSITIONS,2023
"Progress, decolonization and global justice: a tragic view",INTERNATIONAL AFFAIRS,2023
Robust Deep Reinforcement Learning Scheduling via Weight Anchoring,IEEE COMMUNICATIONS LETTERS,2023
Contextual modulation of appearance-trait learning,COGNITION,2023
Working towards relational accountability in education change networks,COGENT EDUCATION,2022
Proximal policy optimization guidance algorithm for intercepting,AEROSPACE SCIENCE AND TECHNOLOGY,2022
Can We Unlearn Racism? What South Africa Teaches Us About Whiteness,SOCIOLOGY OF RACE AND ETHNICITY,2022
Impact of the person-centred intervention guided self-determination,SCANDINAVIAN JOURNAL OF CARING SCIENCES,2022
Understanding dietary behaviour change after a diagnosis of diabetes: A,PLOS ONE,2022
A Self-Study of My Parallel Journey of Unlearning and Relearning Using,STUDYING TEACHER EDUCATION,2022
A Pedagogy of Unbecoming for Geoscience Otherwise,ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS,2022
"Lessons Learned, Lessons Unlearned, Lessons for the Future",CHEST,2022
EMBODIMENT AND MANAGEMENT LEARNING: UNDERSTANDING THE ROLE OF BODILY,ACADEMY OF MANAGEMENT LEARNING & EDUCATION,2022
Locally Weighted Learning Robot Control With Improved Parameter,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,2022
Motion Learning and Rapid Generalization for Musculoskeletal Systems,IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS,2022
Effect of short-term methylphenidate on social impairment in children,CHILD AND ADOLESCENT PSYCHIATRY AND MENTAL HEALTH,2022
Fast prototype selection algorithm based on adjacent neighbourhood and,SCIENTIFIC REPORTS,2022
"Unlearning, uncovering and becoming: experiencing academic writing as",TEACHING IN HIGHER EDUCATION,2022
Definition and attributes of the emotional memory images underlying,FRONTIERS IN PSYCHOLOGY,2022
Organizational Learning for Sustainable Semiconductor Supply Chain,SUSTAINABILITY,2022
"From COVID-19 to Monkeypox: Unlearned Lessons for Black, Latino, and",AMERICAN JOURNAL OF PUBLIC HEALTH,2022
Domain Adversarial Neural Network-Based Intrusion Detection System for,IEEE COMMUNICATIONS LETTERS,2022
Frame-rate up-conversion detection based on convolutional neural network,FORENSIC SCIENCE INTERNATIONAL,2022
Opto-extinction of a threat memory in mice,BRAIN RESEARCH BULLETIN,2022
Haunted by (Ontological) Ancestors and Bodies in Precarity: Religious,RELIGIOUS EDUCATION,2022
Teachers' Perceptions of and Concerns About Integrating Computational,AFRICAN JOURNAL OF RESEARCH IN MATHEMATICS SCIENCE AND TECHNOLOGY,2022
Overcoming reading disabilities among teenage students with learning,EDUCATION AND INFORMATION TECHNOLOGIES,2022
Sustainable deimplementation of continuous pulse oximetry monitoring in,IMPLEMENTATION SCIENCE,2022
What Pre-clinical Rat Models Can Tell Us About Anxiety Across the,CURRENT PSYCHIATRY REPORTS,2022
The case for unlearning health systems,HEALTHCARE-THE JOURNAL OF DELIVERY SCIENCE AND INNOVATION,2022
View incremental decremental multi-view discriminant analysis,APPLIED INTELLIGENCE,2022
Beyond reflective practice: Blogging-with Place as a diffractive,CONTEMPORARY ISSUES IN EARLY CHILDHOOD,2022
UNICON: Uncertainty-Conditioned Policy for Robust Behavior in Unfamiliar,IEEE ROBOTICS AND AUTOMATION LETTERS,2022
Educational knowledge and knowledge of bodies: an unlearning to re-exist,REVISTA HISTORIA-DEBATES E TENDENCIAS,2022
Integrative Review of Absorptive Capacity's Role in Fostering,SUSTAINABILITY,2022
Not Your Submissive China Doll: Counseling Asian American Female,ASIAN AMERICAN JOURNAL OF PSYCHOLOGY,2022
Milnacipran Ameliorates Executive Function Impairments following Frontal,JOURNAL OF NEUROTRAUMA,2022
D-linked and non-d-linked wh-questions in L2 French and L3 English,IRAL-INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING,2022
Multi-tiered systems of support for school attendance and its problems:,FRONTIERS IN EDUCATION,2022
Invited Reaction 1: Theorizing Human Resource Development Practices in,HUMAN RESOURCE DEVELOPMENT REVIEW,2022
Coping with Knowledge Inertia for Improving R&D Team Creativity by Using,MATHEMATICAL PROBLEMS IN ENGINEERING,2022
Western Sahara's Unlearned Lessons,MIDDLE EAST POLICY,2022
Unlearning school attendance and its problems: Moving from historical,FRONTIERS IN EDUCATION,2022
Data-Driven Prediction of Experimental Hydrodynamic Data of the Manta,JOURNAL OF MARINE SCIENCE AND ENGINEERING,2022
African Studies Keyword: Oka,AFRICAN STUDIES REVIEW,2022
Certifiable Unlearning Pipelines for Logistic Regression: An,MACHINE LEARNING AND KNOWLEDGE EXTRACTION,2022
ECONOMIC LITERACY OTHERWISE: A CRITICAL REFLECTION ON EDUCATING FOR,POLICY & PRACTICE-A DEVELOPMENT EDUCATION REVIEW,2022
Federated Unlearning: Guarantee the Right of Clients to Forget,IEEE NETWORK,2022
How We Get Free: Graduate Training as an Opportunity for Equitable,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,2022
A pedagogy of generosity: On the topicality of Deleuze and Guattari's,EDUCATIONAL PHILOSOPHY AND THEORY,2022
"Black bodies, Black queens, and the Black sisterhood on social media:",JOURNAL OF YOUTH STUDIES,2022
Label-only membership inference attacks on machine unlearning without,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,2022
"The whore gaze as the world burns: A conversation between PJ Starr,",GLOBAL PUBLIC HEALTH,2022
How Does Organizational Unlearning Influence Product Innovation,FRONTIERS IN PSYCHOLOGY,2022
Active forgetting via influence estimation for neural networks,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,2022
Effects of goal orientation and unlearning on individual exploration,JOURNAL OF WORKPLACE LEARNING,2022
Revolution and Rehearsal in the Global South Unlearning the Archive,COMPARATIVE STUDIES OF SOUTH ASIA AFRICA AND THE MIDDLE EAST,2022
Ignorance: Aesthetic unlearning,JOURNAL OF PHILOSOPHY OF EDUCATION,2022
"Government Supports, Digital Capability, and Organizational Resilience",SUSTAINABILITY,2022
Perspectives of Hybrid Performing Arts Education in the Post-Pandemic,SUSTAINABILITY,2022
"""Emotional Proximity"" and ""Spatial Proximity"": Higher Relationship",ANIMALS,2022
Unlearning organized numbness through poetic synesthesia: A study in,MANAGEMENT LEARNING,2022
Machine unlearning: linear filtration for logit-based classifiers,MACHINE LEARNING,2022
Doubting leadership: principals sharing a school doubting process within,JOURNAL OF EDUCATIONAL ADMINISTRATION AND HISTORY,2022
Secular discernment: A process of individual unlearning and collective,MANAGEMENT LEARNING,2022
Resisting and unlearning dehumanising language in nursing and healthcare,NURSE EDUCATION TODAY,2022
Seriously Seeking a Christian Theology to Resist White Supremacy,THEOLOGY TODAY,2022
"""You have to know that you know that you know"": Cognitive Reasoning and",JOURNAL OF COLLEGE STUDENT DEVELOPMENT,2022
"Speculative fiction as ""decolonial option"": Towards a ""vulnerable",JOURNAL OF POSTCOLONIAL WRITING,2022
The role of 'non-knowledge' in crisis policymaking: a proposal and,EVIDENCE & POLICY,2022
Effect of knowledge management on innovative performance with the,VINE JOURNAL OF INFORMATION AND KNOWLEDGE MANAGEMENT SYSTEMS,2022
Intersectional Sensibilities and the Spatial Analyses of Ida B.,PROFESSIONAL GEOGRAPHER,2022
A VALUES-BASED APPROACH TO RADICAL INNOVATION: FACILITATING THE,INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,2022
Behind the Scenes: Teaching the Sociology of Tourism Abroad,TEACHING SOCIOLOGY,2022
An integrated review of fear and avoidance learning in anxiety disorders,NEW IDEAS IN PSYCHOLOGY,2022
Parallel futures? Indigenous resurgence and the haunting of the settler,FUTURES,2022
Editorial: Unlearning of Aggressive Behavior and Mechanisms of Change,FRONTIERS IN PSYCHIATRY,2022
"Unlearning Ableism: Design Knowledge, Contested Models, and the",JOURNAL OF DESIGN HISTORY,2022
"""Something Is Happening"": Medical Realism and the Problem of Acting in",MODERN DRAMA,2022
(Re)Learning What It Means to Participate Bringing Student and Teacher,ELEMENTARY SCHOOL JOURNAL,2022
